"","code","Sample","type","character","Citric.acid","Malic.acid","Ascorbic.acid","Sucrose","glucose.fructose","X3.4.di.HBA","X3.HBA","Caffeic.acid","X4.HBA","p.Coumaric.acid","Ferulic.acid","TPP.test","Antioxidant.test","FRAP.test"
"1",1,"real sample1","AULJ","standard",12.97,6.52,0.07,12.7,35.02,92.14,7.92,0,40.17,13.24,17.91,1.06,3.3,0.37
"2",2," real sample2","AULJ","standard",10.11,4.41,0.25,13.58,123.49,128.32,14.9,8.748,45.64,16.05,60.63,1.14,3.58,0.32
"3",3," real sample2'","AULJ","standard",10.42,5.75,0.02,6.94,80.19,49.63,0.002,0,40.89,2.74,0.82,0.67,3.78,0.31
"4",4," real sample3","AULJ","clear",74.1,19.3,0.77,14.52,112.9,206.17,4.73,8.748,63.12,4.74,0.05,3.37,2.97,1.79
"5",5," real sample4","AULJ","clear",64.63,10.32,0.41,73.91,94.68,139.65,17.08,8.748,43.44,11.32,2.79,1.57,0.91,0.72
"6",6," real sample5","AULJ","clear",47.34,22.51,0.85,12.74,47.6,102.88,1.32,0,57.65,8.56,0.05,3.74,3.57,1.59
"7",7," real sample6","AULJ","clear",65.99,24.45,0.79,13.38,61.52,140.65,18.36,8.748,47.02,9.86,5.62,4.08,2.7,1.63
"8",8," real sample6'","AULJ","clear",92.79,28.57,0.9,17.68,59.63,346.13,100.38,135.63,31.15,137.94,563.6,5.33,7.1,5.06
"9",9," real sample7","AULJ","clear",90.88,27.63,1.35,16.66,81.74,203.56,20.17,8.748,65.97,8.42,0.05,0.69,7.13,5.06
"10",10," real sample7'","AULJ","clear",103.5,29.27,1.24,19.61,112.07,143.53,22.15,153.16,82.62,5.18,0.05,5.48,6.92,5.06
"11",11," real sample8","AULJ","cloudy",65.49,32.87,1.21,25.73,37.52,215.41,72.08,151.56,44.28,139.15,368.82,5.61,6.92,2.26
"12",12," real sample9","AULJ","cloudy",58.54,16.55,6.57,45.96,167.02,137.02,86.82,100.95,41.94,127.45,331.37,7.6,7.11,2.47
"13",13," real sample10","AULJ","cloudy",27.61,12.8,1.8,15.21,40.9,107.69,41.1,119.8,21.77,65.52,224.4,5.07,5.53,2.17
"14",14," real sample11","AULJ","cloudy",37.34,14,0.68,13.13,32.78,121.83,43.23,8.748,24.45,77.63,313.34,5.12,5.54,2.06
"15",15," real sample12","AULJ","cloudy",55.51,7.43,0.72,21.23,64.48,84,58.31,96.14,30.58,34.87,140.12,4.82,3.91,1.87
"16",16," real sample13","AULJ","cloudy",88,28.35,1.28,17.82,78.45,100.6,46.51,99.98,37.23,70.36,269.06,2.22,0.01,2.18
"17",17," real sample14","AULJ","cloudy",84.72,17.23,1.12,14.52,52.21,121.8,62.35,94.23,31.47,107.72,261.44,6.41,5.41,5.06
"18",18," real sample15","AULJ","cloudy",60.79,22.53,1.06,11.15,26.84,76.39,22.43,8.748,32.7,2.92,0,3.52,3.24,1.62
"19",19,"real sample","AULJ","clear",37.09,10.41,0.19,65.01,43.95,118.58,20.94,0,30.22,0,0,1.99,0.96,0.97
"20",20,"real sample","AULJ","clear",84.37,20.46,0.61,21.63,76.61,196.52,17.96,43.74,44.9,14.29,9.48,5.48,5.41,5.06
"21",21,"real sample","AULJ","clear",91.07,9.05,0.31,87,56.2,154.48,6.28,8.748,33.77,5.75,0,2.75,0,1.38
"22",22,"real sample","AULJ","clear",37.41,15.4,0.36,8.41,16.12,65.94,7.92,72.81,31.25,0.548,0,3.22,4.39,1.73
"23",23,"real sample","AULJ","clear",54.55,22.4,0.62,16.31,78.21,97.83,5.16,0,39.72,0.548,0,5.06,5.34,1.91
"24",24," HMF","AULJ","",78.39,0,0.33,40.39,84.08,0,4.58,0,29.16,0,0,1.68,0.42,1.1
"25",25," HMUF","AULJ","",80.5,3.16,0.67,4.14,243.05,0,0.01,0,29.91,0,0,2.88,0.82,1.8
"26",26," HMF2","AULJ","",79.7,10.79,0.43,1.88,95.95,375.26,29,0,85.16,18.52,67.51,0.89,0.34,1.15
"27",27," fake sample1","ADLJ","",0.8,0.38,0.01,1.06,0,44.61,603.28,0,0,29.52,50.4,1.39,2.46,0.64
"28",28," fake sample2","ADLJ","",0.26,0.32,0,1.08,0,46.63,300.13,8.748,0,38.58,81.59,1.3,2.52,0.64
"29",29," fake sample3","ADLJ","",0.2,0.6,0,2.09,0.34,27.08,3.93,0,23.91,7.2,27.91,0.68,3.77,0.54
"30",30," fake sample4","ADLJ","",36.03,0.16,0.01,16.97,71.43,31.11,1.47,0,32.19,0.548,0.05,0.63,3.81,0.31
"31",31," fake sample5","ADLJ","",76.73,8.42,0.33,66.49,137.33,128.8,5.99,0,42.39,9.63,0,1.81,0.39,0.92
"32",32," fake sample6","ADLJ","",75.99,11.66,0.81,9.62,150.62,59.03,322.11,71.25,32.72,1698.2,346.35,3.64,3.25,1.8
"33",33," SDJM","ADLJ","",80.55,0.04,0.33,22.48,158.29,26.62,1.25,0,0,0,0,1.22,0.7,0.96
"34",34,"fake sample","ADLJ","",105.81,0,0.54,4.48,259.56,47.46,5.49,0,0,0,0,2.87,5.39,1.85
"35",35,"fake sample","ADLJ","",93.2,3.01,0.87,3.39,250.35,0,0.002,0,30.35,0.548,0,3.74,6.69,2.49
"36",36,"fake sample","ADLJ","",112.79,5.82,0.97,3.05,306.65,24.54,5.76,66.99,0,0,0,4.23,4.88,5.06
"37",37,"fake sample","ADLJ","",87.81,12.02,1.01,4.99,173.01,50.61,12.7,0,0,0,0,5.12,7.13,5.06
"38",38,"fake sample","ADLJ","",102.02,23.15,1.84,8.27,136.05,50.58,4.24,0,29.21,0,0,7.43,7.12,5.06
"39",39,"fake sample","ADLJ","",118.14,0.54,0.79,206.25,76.36,72.03,8.29,0,0,0,0,2.69,2.75,1.81
"40",40,"fake sample","ADLJ","",106.34,2.97,0.78,191.15,31.88,38.48,11.26,0,24.98,0.548,0,3.52,7.13,2.53
"41",41,"fake sample","ADLJ","",88.07,5.7,0.77,137.9,10.8,0,12.33,0,23.68,0,15.39,3.28,6.78,5.06
"42",42,"fake sample","ADLJ","",83.47,13.04,0.96,122.37,0,51.1,1.27,0,0,0,0,5.74,7.13,5.06
"43",43,"fake sample","ADLJ","",70.7,19.41,1.17,48.29,39.96,50.55,10.98,8.748,35.96,0,0,5.74,7.12,5.06
"44",44,"fake sample","ADLJ","",0.09,1.18,0,0.4,0,60.24,632.98,0,0,36.76,35.47,1.75,3.07,0.48
"45",45,"fake sample","ADLJ","",53.07,21.74,0.49,6.78,56.2,253.43,74.74,59.54,0,96.58,425.77,3.21,2.56,1.34
"46",46,"fake sample","ADLJ","",20.46,15.28,0.15,3.83,25.19,71.53,9.31,0,0,0,0,2.46,3.16,1.26
"47",47,"fake sample","ADLJ","",0.04,1.12,0,0,34.39,56.44,565.23,0,0,33.52,7.15,1.37,3.1,0.51
"48",48,"fake sample","ADLJ","",50.82,21.45,0.48,6.76,17.61,182.71,54.29,0,0,87.01,291.33,1.4,1.35,0.91
"49",49,"fake sample","ADLJ","",42.09,19.02,0.26,6.5,17.11,76.27,10.71,0,0,0,0,1.64,1.28,0.92
"50",50,"fake sample","ADLJ","",0.25,1.42,0,0,7.28,42.85,434.42,8.748,0,17.8,15.31,1.04,3.66,0.37
"51",51,"fake sample","ADLJ","",26.87,16.8,0.4,6.9,19,161.86,49.25,64.38,0,63.36,325.02,4.74,1.09,1.15
"52",52,"fake sample","ADLJ","",3.46,10.76,0.09,2.62,5.01,72.2,15.54,0,33.17,0.548,0.25,1.71,1.42,0.84
"53",53,"fake sample","ADLJ","",0.05,1.36,0.02,0.56,8.1,64.1,691.8,0,0,34.4,17.39,1.36,2.35,0.53
"54",54,"fake sample","ADLJ","",32.37,18.5,0.43,10.73,26.03,285.84,83.6,69.68,0,113.75,403.75,3.7,1.69,2.3
"55",55,"fake sample","ADLJ","",22.09,14.15,0.12,4.36,26.03,77.75,12.48,65.17,33.6,0,0,1.87,0.9,0.87
"56",56,"fake sample","ADLJ","",0.11,1.48,0,2.2,0,50.15,573.43,8.748,31.93,31.36,25.69,1.3,2.6,0.58
"57",57,"fake sample","ADLJ","",40.58,21.39,0.39,10.47,50.11,201.4,69.95,50.68,0,86.23,387,1.84,2.07,1.35
"58",58,"fake sample","ADLJ","",13.43,13.07,0.11,5.82,20.18,68.93,10.01,0,0,0,0,1.77,1.1,0.91
"59",59,"fake sample","ADLJ","",0.03,1.86,0,4.5,36.2,50.08,412.57,0,0,17.11,16.73,1.04,3.26,0.65
"60",60,"fake sample","ADLJ","",16.4,13.84,0.21,10.63,50.72,144.85,43.81,0,0,59.09,228.13,2.69,0.85,1.06
"61",61,"fake sample","ADLJ","",5.31,9.44,0.04,9.59,26.22,85,3.38,0,25.39,0,0,1.19,2.21,0.58
"62",62,"fake sample","ADLJ","",0.05,2.21,0.02,11.95,26.05,21.6,7.23,0,24.49,0,0,0.27,4.59,0.09
"63",67," commercial sample1","LMND","",0.46,0.36,0,2.06,129.11,0,2.74,8.748,27.66,0.548,0,0.1,1.54,0.09
"64",68," commercial sample2","LMND","",0.14,0.23,0,0.56,0,0,4.96,0,35.17,0.548,0,0.22,1.54,0.1
"65",69," commercial sample3","LMND","",0.07,0.09,0,1.04,0,21.74,4.13,94.64,0,0,0,0.01,1.62,0.02
"66",70," commercial sample4","LMND","",0.28,0.46,0,61.2,0,27.06,0.002,0,0,0,12.2,0.12,1.49,0.15
"67",71," commercial sample5","LMND","",0.4,0.18,0,73.05,15.63,85.87,46.73,53.29,32.86,34.01,27.05,0.21,1.29,0.12
"68",72," commercial sample6","LMND","",0.5,0.3,0,67.77,48.32,0,32.43,0,0,4.61,0,0.18,1.31,0.14
"69",73," commercial sample7","LMND","",0.19,0.21,0.01,3.66,0,30.51,0.002,0,31.23,0,0,0.03,1.58,0.03
"70",74," commercial sample8","LMND","",0.36,0,0,54.02,0,23.71,10.77,0,29.56,0,0,0.14,1.51,0.11
"71",75," commercial sample9","LMND","",0.14,0.04,0,50.58,28.95,21.88,11.74,0,26.4,10.55,0,0.12,1.5,0.09
"72",76," commercial sample10","LMND","",17.11,0.29,0,54.99,0,117.58,19.83,58.11,29.99,0,3.61,0.14,1.48,0.08
"73",77," commercial sample11","LMND","",0.11,0,0,2.01,36.93,146.07,42.22,0,41.59,90.54,0,0.33,1.03,0.13
"74",78," commercial sample12","LMND","",0,0.21,0.03,9.28,46.39,66.93,0.002,0,39.11,0,0,0.32,0.96,0.25
"75",79," commercial sample13","LMND","",0.01,0.07,0,11.97,50.16,24.63,11.54,0,30.41,0,21.02,0.1,1.54,0.06
"76",80," commercial sample14","LMND","",0.06,0.46,0,14.95,40.13,208.41,25.51,0,0,18.94,6.1,0.17,1.42,0.08
"77",81," commercial sample15","LMND","",0.21,0.05,0,16.08,69.35,81.05,11.18,0,35.21,19.61,0,0.04,1.58,0.05
"78",82," commercial sample16","LMND","",0.83,0.97,0,12.21,23.3,50.78,21.15,0,32.48,0,0,0.1,1.64,0.06
"79",83," commercial sample17","LMND","",0.04,0.27,0,4.79,4.56,54.62,1049.02,0,36.41,11.3,0.05,0.19,1.53,0.06
"80",84," commercial sample18","LMND","",0.52,1.24,0,43.72,24.38,27.36,18.75,0,27.3,0,3.03,0.1,1.5,0.11
"81",85," commercial sample19","LMND","",0.14,0,0,14.33,54.09,141.63,49.29,64.8,36.61,158.72,0,0.3,0.82,0.28
"82",86," commercial sample20","LMND","",0.27,0.28,0.01,16.65,51.73,250.89,46.76,8.748,30.85,35.39,7.4,0.54,0.71,0.24
"83",87," commercial sample21","LMND","",0.08,0.14,0,4.54,51.58,31.58,12.44,44.24,36.22,21.86,3.21,0.07,1.54,0.06
"84",88," commercial sample22","LMND","",0.19,0.28,0,2.74,30.54,120.35,34.17,0,0,72.42,10.72,0.29,0.77,0.12
"85",89," commercial sample23","LMND","",0.17,0.08,0,6.9,63.35,217.86,18.27,0,0,31.29,3.78,0.22,1.3,0.11
"86",90," commercial sample27","LMND","",0,0,0.02,1.26,0,69.63,0.002,0,31.53,0,0,0.07,1.36,0.08
